Aplikacija ukljucena        (1/2/2016 10:04:51 AM)
[private void setRp02PointCalculated(int indexOfRp02, double x, double y) ]{if (indexOfRp02 == dataReader.FittingPreassureInMPa.Count)}        (1/2/2016 10:05:04 AM)
[private void setRp02PointCalculated(int indexOfRp02, double x, double y) ]{if (indexOfRp02 == dataReader.FittingPreassureInMPa.Count)}        (1/2/2016 10:05:05 AM)
[private void setRp02PointCalculated(int indexOfRp02, double x, double y) ]{if (indexOfRp02 == dataReader.FittingPreassureInMPa.Count)}        (1/2/2016 10:05:25 AM)
[private void setRp02PointCalculated(int indexOfRp02, double x, double y) ]{if (indexOfRp02 == dataReader.FittingPreassureInMPa.Count)}        (1/2/2016 10:05:28 AM)
[private void setRp02PointCalculated(int indexOfRp02, double x, double y) ]{if (indexOfRp02 == dataReader.FittingPreassureInMPa.Count)}        (1/2/2016 10:05:31 AM)
[private void setRp02PointCalculated(int indexOfRp02, double x, double y) ]{if (indexOfRp02 == dataReader.FittingPreassureInMPa.Count)}        (1/2/2016 10:05:31 AM)
[private void setRp02PointCalculated(int indexOfRp02, double x, double y) ]{if (indexOfRp02 == dataReader.FittingPreassureInMPa.Count)}        (1/2/2016 10:05:32 AM)
[private void setRp02PointCalculated(int indexOfRp02, double x, double y) ]{if (indexOfRp02 == dataReader.FittingPreassureInMPa.Count)}        (1/2/2016 10:05:33 AM)
[private void setRp02PointCalculated(int indexOfRp02, double x, double y) ]{if (indexOfRp02 == dataReader.FittingPreassureInMPa.Count)}        (1/2/2016 10:05:33 AM)
[private void setRp02PointCalculated(int indexOfRp02, double x, double y) ]{if (indexOfRp02 == dataReader.FittingPreassureInMPa.Count)}        (1/2/2016 10:05:33 AM)
[private void setRp02PointCalculated(int indexOfRp02, double x, double y) ]{if (indexOfRp02 == dataReader.FittingPreassureInMPa.Count)}        (1/2/2016 10:05:35 AM)
[private void setRp02PointCalculated(int indexOfRp02, double x, double y) ]{if (indexOfRp02 == dataReader.FittingPreassureInMPa.Count)}        (1/2/2016 10:05:35 AM)
[private void setRp02PointCalculated(int indexOfRp02, double x, double y) ]{if (indexOfRp02 == dataReader.FittingPreassureInMPa.Count)}        (1/2/2016 10:05:36 AM)
[private void setRp02PointCalculated(int indexOfRp02, double x, double y) ]{if (indexOfRp02 == dataReader.FittingPreassureInMPa.Count)}        (1/2/2016 10:05:39 AM)
[private void setRp02PointCalculated(int indexOfRp02, double x, double y) ]{if (indexOfRp02 == dataReader.FittingPreassureInMPa.Count)}        (1/2/2016 10:05:42 AM)
[private void setRp02PointCalculated(int indexOfRp02, double x, double y) ]{if (indexOfRp02 == dataReader.FittingPreassureInMPa.Count)}        (1/2/2016 10:05:43 AM)
[private void setRp02PointCalculated(int indexOfRp02, double x, double y) ]{if (indexOfRp02 == dataReader.FittingPreassureInMPa.Count)}        (1/2/2016 10:06:11 AM)
[private void setRp02PointCalculated(int indexOfRp02, double x, double y) ]{if (indexOfRp02 == dataReader.FittingPreassureInMPa.Count)}        (1/2/2016 10:06:46 AM)
[private void setRp02PointCalculated(int indexOfRp02, double x, double y) ]{if (indexOfRp02 == dataReader.FittingPreassureInMPa.Count)}        (1/2/2016 10:07:05 AM)
[private void setRp02PointCalculated(int indexOfRp02, double x, double y) ]{if (indexOfRp02 == dataReader.FittingPreassureInMPa.Count)}        (1/2/2016 10:07:05 AM)
[private void setRp02PointCalculated(int indexOfRp02, double x, double y) ]{if (indexOfRp02 == dataReader.FittingPreassureInMPa.Count)}        (1/2/2016 10:07:07 AM)
[private void setRp02PointCalculated(int indexOfRp02, double x, double y) ]{if (indexOfRp02 == dataReader.FittingPreassureInMPa.Count)}        (1/2/2016 10:07:21 AM)
Aplikacija ukljucena        (1/2/2016 10:09:59 AM)
[private void setRp02PointCalculated(int indexOfRp02, double x, double y) ]{if (indexOfRp02 == dataReader.FittingPreassureInMPa.Count)}        (1/2/2016 10:10:04 AM)
[private void setRp02PointCalculated(int indexOfRp02, double x, double y) ]{if (indexOfRp02 == dataReader.FittingPreassureInMPa.Count)}        (1/2/2016 10:10:04 AM)
[private void setRp02PointCalculated(int indexOfRp02, double x, double y) ]{if (indexOfRp02 == dataReader.FittingPreassureInMPa.Count)}        (1/2/2016 10:10:22 AM)
[private void setRp02PointCalculated(int indexOfRp02, double x, double y) ]{if (indexOfRp02 == dataReader.FittingPreassureInMPa.Count)}        (1/2/2016 10:10:31 AM)
[private void setRp02PointCalculated(int indexOfRp02, double x, double y) ]{if (indexOfRp02 == dataReader.FittingPreassureInMPa.Count)}        (1/2/2016 10:10:33 AM)
[private void setRp02PointCalculated(int indexOfRp02, double x, double y) ]{if (indexOfRp02 == dataReader.FittingPreassureInMPa.Count)}        (1/2/2016 10:10:44 AM)
[private void setRp02PointCalculated(int indexOfRp02, double x, double y) ]{if (indexOfRp02 == dataReader.FittingPreassureInMPa.Count)}        (1/2/2016 10:12:37 AM)
[private void setRp02PointCalculated(int indexOfRp02, double x, double y) ]{if (indexOfRp02 == dataReader.FittingPreassureInMPa.Count)}        (1/2/2016 10:13:56 AM)
[private void setRp02PointCalculated(int indexOfRp02, double x, double y) ]{if (indexOfRp02 == dataReader.FittingPreassureInMPa.Count)}        (1/2/2016 10:14:40 AM)
[private void setRp02PointCalculated(int indexOfRp02, double x, double y) ]{if (indexOfRp02 == dataReader.FittingPreassureInMPa.Count)}        (1/2/2016 10:15:26 AM)
[private void setRp02PointCalculated(int indexOfRp02, double x, double y) ]{if (indexOfRp02 == dataReader.FittingPreassureInMPa.Count)}        (1/2/2016 10:15:49 AM)
[private void setRp02PointCalculated(int indexOfRp02, double x, double y) ]{if (indexOfRp02 == dataReader.FittingPreassureInMPa.Count)}        (1/2/2016 10:15:51 AM)
Aplikacija iskljucena        (1/2/2016 10:16:24 AM)
Aplikacija ukljucena        (1/2/2016 10:28:34 AM)
Aplikacija iskljucena        (1/2/2016 10:28:54 AM)
Aplikacija ukljucena        (1/2/2016 10:32:59 AM)
Aplikacija iskljucena        (1/2/2016 10:33:11 AM)
Aplikacija ukljucena        (1/2/2016 10:34:37 AM)
Aplikacija iskljucena        (1/2/2016 10:35:02 AM)
Aplikacija ukljucena        (1/2/2016 10:36:21 AM)
Aplikacija ukljucena        (1/2/2016 10:41:55 AM)
Aplikacija iskljucena        (1/2/2016 10:42:11 AM)
Aplikacija ukljucena        (1/2/2016 10:42:35 AM)
Aplikacija iskljucena        (1/2/2016 10:42:46 AM)
Aplikacija ukljucena        (1/2/2016 10:43:22 AM)
Aplikacija iskljucena        (1/2/2016 10:43:43 AM)
Aplikacija ukljucena        (1/2/2016 10:45:40 AM)
Aplikacija iskljucena        (1/2/2016 10:45:55 AM)
Aplikacija ukljucena        (1/2/2016 10:49:14 AM)
Aplikacija iskljucena        (1/2/2016 10:49:26 AM)
Aplikacija ukljucena        (1/2/2016 10:50:32 AM)
Aplikacija iskljucena        (1/2/2016 10:50:53 AM)
Aplikacija ukljucena        (1/2/2016 10:52:05 AM)
Aplikacija iskljucena        (1/2/2016 10:52:16 AM)
Aplikacija ukljucena        (1/2/2016 10:53:49 AM)
[private void setRp02PointCalculated(int indexOfRp02, double x, double y) ]{if (indexOfRp02 == dataReader.FittingPreassureInMPa.Count)}        (1/2/2016 10:54:14 AM)
[private void setRp02PointCalculated(int indexOfRp02, double x, double y) ]{if (indexOfRp02 == dataReader.FittingPreassureInMPa.Count)}        (1/2/2016 10:54:25 AM)
Aplikacija iskljucena        (1/2/2016 10:54:33 AM)
Aplikacija ukljucena        (1/2/2016 10:55:40 AM)
[private void setRp02PointCalculated(int indexOfRp02, double x, double y) ]{if (indexOfRp02 == dataReader.FittingPreassureInMPa.Count)}        (1/2/2016 10:55:41 AM)
[private void setRp02PointCalculated(int indexOfRp02, double x, double y) ]{if (indexOfRp02 == dataReader.FittingPreassureInMPa.Count)}        (1/2/2016 10:55:41 AM)
Aplikacija iskljucena        (1/2/2016 10:55:52 AM)
Aplikacija ukljucena        (1/2/2016 10:57:20 AM)
[private void setRp02PointCalculated(int indexOfRp02, double x, double y) ]{if (indexOfRp02 == dataReader.FittingPreassureInMPa.Count)}        (1/2/2016 10:57:21 AM)
[private void setRp02PointCalculated(int indexOfRp02, double x, double y) ]{if (indexOfRp02 == dataReader.FittingPreassureInMPa.Count)}        (1/2/2016 10:57:22 AM)
Aplikacija iskljucena        (1/2/2016 10:57:37 AM)
Aplikacija ukljucena        (1/2/2016 10:58:34 AM)
[private void setRp02PointCalculated(int indexOfRp02, double x, double y) ]{if (indexOfRp02 == dataReader.FittingPreassureInMPa.Count)}        (1/2/2016 10:58:35 AM)
[private void setRp02PointCalculated(int indexOfRp02, double x, double y) ]{if (indexOfRp02 == dataReader.FittingPreassureInMPa.Count)}        (1/2/2016 10:58:35 AM)
Aplikacija iskljucena        (1/2/2016 10:58:48 AM)
Aplikacija ukljucena        (1/2/2016 10:59:27 AM)
